-1,-1,0
-1,5,0
-1,22,0
-1,31,0
-1,38,0
-1,64,0
-1,75,0
-1,97,0
-1,99,0
-1,105,0
-1,122,0
-1,131,0
-1,138,0
-1,164,0
-1,175,0
-1,197,0
-1,199,0
-1,205,0
-1,215,0
-1,231,0
-1,264,0
-1,275,0
-1,279,0
-1,297,0
-1,299,0
-1,305,0
-1,322,0
-1,338,0
-1,364,0
-1,375,0
-1,397,0
-1,-1,1
-1,5,1
-1,22,1
-1,31,1
-1,38,1
-1,64,1
-1,75,1
-1,97,1
-1,99,1
-1,105,1
-1,122,1
-1,131,1
-1,138,1
-1,164,1
-1,175,1
-1,194,1
-1,197,1
-1,199,1
-1,205,1
-1,222,1
-1,231,1
-1,238,1
-1,264,1
-1,297,1
-1,299,1
-1,305,1
-1,320,1
-1,322,1
-1,331,1
-1,338,1
-1,364,1
-1,375,1
-1,397,1
-1,-1,2
-1,5,2
-1,22,2
-1,31,2
-1,38,2
-1,64,2
-1,75,2
-1,97,2
-1,99,2
-1,105,2
-1,122,2
-1,131,2
-1,138,2
-1,164,2
-1,175,2
-1,187,2
-1,197,2
-1,199,2
-1,205,2
-1,222,2
-1,231,2
-1,238,2
-1,264,2
-1,275,2
-1,288,2
-1,297,2
-1,299,2
-1,305,2
-1,322,2
-1,331,2
-1,338,2
-1,364,2
-1,375,2
-1,397,2
-1,-1,3
-1,5,3
-1,22,3
-1,31,3
-1,38,3
-1,64,3
-1,97,3
-1,99,3
-1,105,3
-1,122,3
-1,131,3
-1,138,3
-1,164,3
-1,197,3
-1,199,3
-1,205,3
-1,222,3
-1,231,3
-1,238,3
-1,264,3
-1,297,3
-1,299,3
-1,305,3
-1,331,3
-1,338,3
-1,364,3
-1,397,3
-1,-1,4
-1,5,4
-1,6,4
-1,22,4
-1,31,4
-1,38,4
-1,64,4
-1,75,4
-1,97,4
-1,99,4
-1,105,4
-1,106,4
-1,122,4
-1,131,4
-1,138,4
-1,164,4
-1,175,4
-1,199,4
-1,205,4
-1,206,4
-1,222,4
-1,231,4
-1,238,4
-1,264,4
-1,275,4
-1,297,4
-1,-1,5
-1,5,5
-1,22,5
-1,31,5
-1,38,5
-1,64,5
-1,75,5
-1,99,5
-1,102,5
-1,105,5
-1,122,5
-1,131,5
-1,138,5
-1,164,5
-1,175,5
-1,196,5
-1,199,5
-1,205,5
-1,222,5
-1,231,5
-1,238,5
-1,264,5
-1,275,5
-1,299,5
-1,305,5
-1,322,5
-1,331,5
-1,338,5
-1,364,5
-1,375,5
-1,-1,6
-1,5,6
-1,22,6
-1,31,6
-1,38,6
-1,64,6
-1,75,6
-1,77,6
-1,97,6
-1,99,6
-1,105,6
-1,122,6
-1,131,6
-1,138,6
-1,164,6
-1,175,6
-1,177,6
-1,197,6
-1,199,6
-1,205,6
-1,222,6
-1,231,6
-1,238,6
-1,264,6
-1,275,6
-1,277,6
-1,297,6
-1,299,6
-1,322,6
-1,331,6
-1,338,6
-1,364,6
-1,375,6
-1,377,6
-1,397,6
-1,-1,7
-1,5,7
-1,22,7
-1,31,7
-1,38,7
-1,64,7
-1,75,7
-1,97,7
-1,105,7
-1,122,7
-1,125,7
-1,131,7
-1,138,7
-1,164,7
-1,175,7
-1,197,7
-1,199,7
-1,205,7
-1,222,7
-1,231,7
-1,238,7
-1,264,7
-1,275,7
-1,297,7
-1,299,7
-1,305,7
-1,322,7
-1,331,7
-1,338,7
-1,364,7
-1,375,7
-1,397,7
-1,-1,8
-1,5,8
-1,22,8
-1,31,8
-1,38,8
-1,64,8
-1,75,8
-1,97,8
-1,99,8
-1,105,8
-1,122,8
-1,131,8
-1,138,8
-1,164,8
-1,175,8
-1,197,8
-1,199,8
-1,205,8
-1,222,8
-1,231,8
-1,238,8
-1,264,8
-1,275,8
-1,297,8
-1,299,8
-1,305,8
-1,322,8
-1,331,8
-1,335,8
-1,338,8
-1,364,8
-1,375,8
-1,397,8
-1,-1,9
-1,22,9
-1,31,9
-1,38,9
-1,64,9
-1,75,9
-1,97,9
-1,99,9
-1,122,9
-1,131,9
-1,138,9
-1,164,9
-1,175,9
-1,197,9
-1,199,9
-1,222,9
-1,231,9
-1,238,9
-1,264,9
-1,275,9
-1,297,9
-1,299,9
-1,322,9
-1,331,9
-1,338,9
-1,364,9
-1,375,9
-1,397,9
-1,-1,10
-1,5,10
-1,22,10
-1,31,10
-1,38,10
-1,64,10
-1,75,10
-1,97,10
-1,99,10
-1,105,10
-1,122,10
-1,131,10
-1,138,10
-1,164,10
-1,175,10
-1,197,10
-1,199,10
-1,205,10
-1,222,10
-1,231,10
-1,238,10
-1,264,10
-1,275,10
-1,297,10
-1,299,10
-1,305,10
-1,322,10
-1,331,10
-1,338,10
-1,364,10
-1,375,10
-1,397,10
-1,-1,11
-1,5,11
-1,31,11
-1,38,11
-1,64,11
-1,75,11
-1,97,11
-1,99,11
-1,105,11
-1,131,11
-1,138,11
-1,164,11
-1,175,11
-1,197,11
-1,199,11
-1,205,11
-1,222,11
-1,231,11
-1,238,11
-1,264,11
-1,297,11
-1,299,11
-1,305,11
-1,331,11
-1,338,11
-1,364,11
-1,375,11
-1,397,11
-1,-1,12
